#OIL/MOEL	File H		File INC	File GLD	File LIB	
PIC33FJ256MC710	p33FJ256MC710.h p33FJ256MC710.inc	p33FJ256MC710.gld	libp33FJ256MC710-elf.a
PIC33FJ64GP206	p33FJ64GP206.h	p33FJ64GP206.inc	p3FJ64GP206.gld	libp33FJ64GP206-elf.a
PIC33FJ64GP306	p33FJ64GP306.h	p33FJ64GP306.inc	p3FJ64GP306.gld	libp33FJ64GP306-elf.a
PIC33FJ64GP310	p33FJ64GP310.h	p33FJ64GP310.inc	p3FJ64GP310.gld	libp33FJ64GP310-elf.a
PIC33FJ64GP706	p33FJ64GP706.h	p33FJ64GP706.inc	p3FJ64GP706.gld	libp33FJ64GP706-elf.a
PIC33FJ64GP708	p33FJ64GP708.h	p33FJ64GP708.inc	p3FJ64GP708.gld	libp33FJ64GP708-elf.a
PIC33FJ64GP710	p33FJ64GP710.h	p33FJ64GP710.inc	p3FJ64GP710.gld	libp33FJ64GP710-elf.a
PIC33FJ64MC506	p33FJ64MC506.h	p33FJ64MC506.inc	p3FJ64MC506.gld	libp33FJ64MC506-elf.a
PIC33FJ64MC508	p33FJ64MC508.h	p33FJ64MC508.inc	p3FJ64MC508.gld	libp33FJ64MC508-elf.a
PIC33FJ64MC510	p33FJ64MC510.h	p33FJ64MC510.inc	p3FJ64MC510.gld	libp33FJ64MC510-elf.a
PIC33FJ64MC706	p33FJ64MC706.h	p33FJ64MC706.inc	p3FJ64MC706.gld	libp33FJ64MC706-elf.a
PIC33FJ64MC710	p33FJ64MC710.h	p33FJ64MC710.inc	p3FJ64MC710.gld	libp33FJ64MC710-elf.a
PIC33FJ64MC802	p33FJ64MC802.h	p33FJ64MC802.inc	p33FJ64MC802.gld	libp33FJ64MC802-elf.a
